ARTICULO;CODIGO;PRECIO CONTADO;N° CUOTAS
Asta de Bandera;AB-0001;1.255.000,00;4
Alfombra chica;AF-0001;2.450,00;4
Almohada 1 plaza.;AL-0001;3.325,00;4
Almohada 1 1/2 plaza.;AL-0002;3.620,00;4
Almohada americana;AL-0003;3.465,00;4
Almohadon chico;AL-0004;1.500,00;5
Alacena especial;AL-0005;11.000,00;1
Arrimo metalico vidrio;AR-0001;13.500,00;5
Arrimo madera chico;AR-0002;42.000,00;6
Arrimo madera mediano;AR-0003;49.000,00;6
Arrimo madera recto;AR-0004;44.000,00;6
Bandejas de melamina;BA-0001;1,00;4
Baúl Juguetes chico;BJ-0001;12.000,00;4
Baúl Juguetes grande;BJ-0002;18.000,00;4
Biblioteca Claudio 2 cps.;BL-0001;96.000,00;8
Biblioteca Claudio 3 cps.;BL-0002;135.000,00;8
Biblioteca copero grande;BL-0003;150.000,00;10
Biblioteca española;BL-0004;120.000,00;8
Biblioteca florentina;BL-0005;78.000,00;8
Biblioteca quinta;BL-0006;140.000,00;8
Biblioteca Charlie;BL-0007;135.000,00;8
Biblioteca Salomónica;BL-0008;130.000,00;8
Biblioteca Bar mélody;BL-0009;230.000,00;10
Biblioteca quinta 2 cps.;BL-0010;110.000,00;8
Biblioteca copero chica;BL-0011;98.000,00;10
Biblioteca Imperio;BL-0012;190.000,00;10
Biblioteca balaustro chica;BL-0013;40.000,00;8
Biblioteca Rack;BL-0014;70.000,00;8
Biblioteca especial;BL-0015;1,00;8
Base mesa de cristal;BM-0001;12.500,00;8
Base mesa de cristal etruzca;BM-0002;30.000,00;6
Base mesa de cristal etruzca patinada;BM-0003;37.500,00;8
Botiquín chico;BO-0001;11.000,00;4
Botiquin colonial doble;BO-0002;25.000,00;5
Botiquín colonial sin luz;BO-0003;14.000,00;5
Botiquin alerce grande;BO-0004;14.000,00;6
Botiquin especial;BO-0005;1,00;1
Botellero especial;BO-0006;1,00;1
Bar germaín;BR-0001;130.000,00;10
Bar Venus;BR-0002;130.000,00;6
Batidora electrón;BT-0001;17.200,00;4
Cubierta ovalada cristal;CB-0001;37.500,00;6
Cubierta redonda cristal;CB-0002;37.500,00;6
Cubierta especial;CB-0003;1,00;5
Cubierta lavaplatos 0,80;CB-0004;30.000,00;5
Cubierta lavaplatos 1,0;CB-0005;30.000,00;6
Cubierta formalita especial;CB-0010;1,00;6
Cubrecolchon 1 1/2 plaza.;CC-0001;4.900,00;5
Cubre Colchón 2 Plazas.;CC-0002;7.500,00;4
Comedor Infantil;CD-0001;35.000,00;5
Comedor cristal con 6 sillas metal.;CD-0002;130.000,00;8
Comedor cristal con 4 sillas 2 sitiales;CD-0003;115.000,00;8
Comedor extensión euc. Y 6 sillas Coloniales;CD-0004;145.000,00;10
Comedor extensión euc. Y 6 sillas Da Vinci;CD-0005;148.000,00;10
comedor cristal con 6 sillas económicas;CD-0006;90.000,00;8
Comedor economico madera;CD-0007;85.000,00;8
Comedor extensión c/6 sillas economicas;CD-0008;130.000,00;8
Comedor Redondo Ext.encina  6 sillas italianas;CD-0009;220.000,00;10
Comedor ceramica 4 sillas;CD-0010;120.000,00;8
Comedor cerámica 6 sillas;CD-0011;195.000,00;10
Comedor fijo pino 6 sillas;CD-0012;120.000,00;8
Cubierta especial a medida;CE-0001;1,00;4
Cuotas futuras;CF-0001;1,00;4
Colchón Esp.D.21 1 1/2x15 liso;CH-0001;42.770,00;6
Colchón Esp.D.21 1 1/2x15 Ac.;CH-0002;47.350,00;6
Colchón Esp.D.21 1 1/2x20 Ac.;CH-0003;68.000,00;6
Colchón Esp.D.21 1x15 liso;CH-0004;37.100,00;6
Colchón Esp.D.21 1x15 Ac.;CH-0005;32.600,00;6
Colchón Esp.D.21 1x20 Ac.;CH-0006;48.200,00;6
Colchón Esp.D.21 2x15 Ac.;CH-0007;65.500,00;6
Colchón Esp.D.21 2x20 Ac.;CH-0008;79.650,00;6
Colchón Esp.D.24 1 1/2x15 Ac.;CH-0009;53.630,00;6
Colchón Esp.D.24 1 1/2x20 Ac.;CH-0010;69.100,00;6
Colchón Esp.D.24 1x15 Ac.;CH-0011;46.130,00;6
Colchón Esp.D.24 1x20 Ac.;CH-0012;59.100,00;6
Colchón Esp.D.24 2x15 Ac.;CH-0013;75.345,00;6
Colchón Esp.D.24 2x20 Ac.;CH-0014;96.740,00;6
Colchón Resortes 1 plaza;CH-0015;59.100,00;6
Colchón Resortes 1 1/2 plaza;CH-0016;67.850,00;6
Colchón Resortes 2 plazas;CH-0017;97.000,00;6
Colchón Esp.D.21 2x15 liso;CH-0018;61.300,00;6
Colchón Esp.D 24 1 1/2 x 20 Ac.;CH-0019;48.850,00;6
Colchòn cuna 1,2 x 0,6 liso;CH-0022;3.000,00;4
Colchón Esp. D. 18 1 1/2 x 15 liso;CH-0023;28.300,00;6
Colchón resorte Full;CH-0024;97.380,00;6
Colchón resortes King;CH-0025;123.600,00;6
Cajonera carola;CJ-0001;38.000,00;5
Cajonera económica;CJ-0002;30.000,00;5
Cajonera Grande;CJ-0003;40.000,00;6
Cajonera grande melamina;CJ-0004;40.000,00;5
Cajonera Especial;CJ-0005;34.000,00;5
Cajonera trupan Bebé;CJ-0006;32.000,00;5
Cajonera chica 5 cajones;CJ-0007;28.000,00;4
Cajonera Chica melamina;CJ-0008;30.000,00;5
Cajonera economica eucaliptus;CJ-0009;22.000,00;5
Cajonera economica melamina;CJ-0010;26.000,00;5
Cajonera extra;CJ-0011;40.000,00;6
Cajonera Disney;CJ-0012;32.000,00;5
Cajonera chica DVD;CJ-0013;38.000,00;6
Cajonera grande DVD;CJ-0014;44.000,00;6
Cajon mueble de cocina;CJ-0015;1,00;1
Closet mini Melamina;CL-0001;65.000,00;5
Closet 0,90;CL-0002;72.000,00;8
Closet chico 4 cajones;CL-0003;65.000,00;6
Closet chico puerta larga;CL-0004;60.000,00;6
Closet chico con maletero;CL-0005;65.000,00;6
Closet 1,20x1,80 con maletero;CL-0006;115.000,00;8
closet 1,20x1,80;CL-0007;95.000,00;8
Closet 1,50x1,80;CL-0008;160.000,00;8
Closet 1,50x1,80 con maletero;CL-0009;150.000,00;8
Closet trupán;CL-0010;40.000,00;6
Closet especial;CL-0011;780.000,00;8
Closet melamina;CL-0012;85.000,00;8
Cuna madera económica;CN-0001;39.000,00;5
Cama nido Challenger 1 pza.;CN-0002;72.000,00;6
Cama Nido Challenger 1 1/2 pza;CN-0003;78.000,00;6
Cama nido eucaliptus 1 plaza.;CN-0004;72.000,00;6
Cuna cajonera lacada;CN-0005;84.000,00;6
Cuna economica;CN-0006;60.000,00;8
Cuna especial;CN-0007;1,00;5
Cuna multiple.;CN-0008;140.000,00;8
Caja de negocio;cn-0009;1,00;1
Comoda carola;CO-0001;35.000,00;5
Cómoda chica 4 cajones. Eucaliptus;CO-0002;28.000,00;4
Comoda economica;CO-0003;26.000,00;5
Cómoda grande 5 cajones;CO-0004;28.000,00;6
Comoda grande melamina Zambo;CO-0005;38.000,00;6
Comoda mediana J.C.;CO-0006;35.000,00;5
Cómoda melamina 4 cajones;CO-0007;45.000,00;5
Cómoda 7 cajones;CO-0008;45.000,00;6
Cómoda Jumbo;CO-0009;48.000,00;5
Cómoda especial;CO-0010;38.000,00;6
Cómoda peinador;CO-0011;45.000,00;5
Comodon 6 cajones;CO-0012;40.000,00;6
Comoda trupan blanca lacada;CO-0013;35.000,00;5
Comoda doble 10 cajones.;CO-0014;60.000,00;6
Comoda grande 5 cajones especial;CO-0015;42.000,00;6
Cómoda Disney;CO-0016;30.000,00;5
Cómoda melamina grande;CO-0017;32.000,00;6
Cómoda estante;CO-0018;40.000,00;6
Comoda chica DVD;CO-0019;40.000,00;6
Cómoda grande DVD;CO-0020;45.000,00;6
Cómoda DVD Grande Juan;CO-0021;85.000,00;1
Cómoda mudador;CO-0023;60.000,00;6
Cajon para pan;CP-0001;30.000,00;4
Caja de negocio;cr-0001;1,00;1
Camarote Bambú 1 plaza;CT-0001;72.000,00;6
Camarote Colonial 1 1/2 plaza;CT-0002;78.000,00;6
Camarote acuarela 1 plaza;CT-0003;79.000,00;6
Camarote colonial 1 plaza;CT-0004;82.000,00;8
Camarote triple 1 plaza.;CT-0005;105.000,00;6
Camarote eucaliptus fijo 1 pza.;CT-0006;88.000,00;6
Camarote 1-1/2 plaza;CT-0007;89.000,00;6
Camarote linea plana 1 plaza;CT-0008;69.000,00;6
Camarote linea plana 1 1/2 plaza.;CT-0009;105.000,00;8
Camarote Bambú 1 1/2 plaza;CT-0010;82.000,00;6
